<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.02	1.61460	1.65110	1.61380	1.63940	28316	0	50
2000.01.09	1.63870	1.65090	1.63130	1.63530	31810	0	50
2000.01.16	1.63450	1.65810	1.62970	1.64880	31073	0	50
2000.01.23	1.64640	1.65600	1.61550	1.61950	30813	0	50
2000.01.30	1.62210	1.62610	1.58300	1.59160	34539	0	50
2000.02.06	1.59100	1.61770	1.58700	1.59440	38729	0	50
2000.02.13	1.59300	1.61400	1.58420	1.60210	34921	0	50
2000.02.20	1.60010	1.61960	1.58850	1.59490	35054	0	50
2000.02.27	1.59050	1.60230	1.57510	1.57750	36694	0	50
2000.03.05	1.57970	1.58770	1.56920	1.57680	34606	0	50
2000.03.12	1.57730	1.58330	1.56780	1.57630	36820	0	50
2000.03.19	1.57540	1.59570	1.56140	1.59560	37111	0	50
2000.03.26	1.59290	1.60080	1.58110	1.59110	37404	0	50
2000.04.02	1.59120	1.60820	1.57750	1.57940	32157	0	50
2000.04.09	1.57990	1.59330	1.57660	1.58800	32513	0	50
2000.04.16	1.58920	1.59460	1.57470	1.57760	31514	0	50
2000.04.23	1.57670	1.58260	1.55050	1.55210	34319	0	50
2000.04.30	1.55350	1.56730	1.52450	1.53030	32485	0	50
2000.05.07	1.52790	1.53710	1.49280	1.51610	40413	0	50
2000.05.14	1.52240	1.52300	1.47530	1.48850	35374	0	50
2000.05.21	1.48620	1.49670	1.46640	1.49000	39484	0	50
2000.05.28	1.48880	1.51290	1.48580	1.51010	34562	0	50
2000.06.04	1.51030	1.53140	1.50080	1.51010	38437	0	50
2000.06.11	1.50850	1.51820	1.49520	1.51520	37747	0	50
2000.06.18	1.51470	1.52030	1.49440	1.49940	38208	0	50
2000.06.25	1.50110	1.52120	1.49360	1.51730	37164	0	50
2000.07.02	1.51680	1.51970	1.50400	1.51310	35844	0	50
2000.07.09	1.51510	1.51960	1.49680	1.50210	37650	0	50
2000.07.16	1.50060	1.52010	1.49040	1.51700	37004	0	50
2000.07.23	1.51760	1.52230	1.49870	1.50230	34680	0	50
2000.07.30	1.50280	1.50800	1.48270	1.50540	33482	0	50
2000.08.06	1.50460	1.51430	1.49470	1.50230	31054	0	50
2000.08.13	1.50220	1.51430	1.48750	1.49000	34712	0	50
2000.08.20	1.49020	1.49360	1.46890	1.46930	34514	0	50
2000.08.27	1.47080	1.47370	1.44190	1.46380	34205	0	50
2000.09.03	1.46270	1.46600	1.41370	1.41390	36849	0	50
2000.09.10	1.41400	1.42310	1.39500	1.39730	38701	0	50
2000.09.17	1.39870	1.47580	1.39590	1.45320	37191	0	50
2000.09.24	1.45720	1.48020	1.45000	1.47610	37602	0	50
2000.10.01	1.47640	1.47790	1.44220	1.44560	34956	0	50
2000.10.08	1.44690	1.48040	1.44540	1.45200	35345	0	50
2000.10.15	1.45180	1.46160	1.43420	1.45150	40572	0	50
2000.10.22	1.45280	1.45810	1.41910	1.45530	41564	0	50
2000.10.29	1.45430	1.46760	1.43940	1.45040	44876	0	50
2000.11.05	1.44940	1.45200	1.41290	1.42590	45423	0	50
2000.11.12	1.42650	1.44280	1.41970	1.42230	41179	0	50
2000.11.19	1.42240	1.42960	1.39570	1.39990	39225	0	50
2000.11.26	1.40080	1.44510	1.40010	1.44190	44597	0	50
2000.12.03	1.43950	1.45560	1.43080	1.45170	48898	0	50
2000.12.10	1.44620	1.47810	1.44290	1.47570	46953	0	50
2000.12.17	1.47360	1.48420	1.46060	1.47690	49014	0	50
2000.12.24	1.47700	1.49830	1.47400	1.49290	34508	0	50
2000.12.31	1.49310	1.50980	1.48820	1.50410	39730	0	50
2001.01.07	1.50360	1.51060	1.47550	1.47730	45035	0	50
2001.01.14	1.47840	1.48080	1.46260	1.46290	46913	0	50
2001.01.21	1.46370	1.47440	1.44630	1.46150	49468	0	50
2001.01.28	1.46120	1.48380	1.45530	1.46890	45592	0	50
2001.02.04	1.46900	1.47850	1.43720	1.44460	46508	0	50
2001.02.11	1.44550	1.46140	1.44400	1.44870	44677	0	50
2001.02.18	1.44740	1.45580	1.43100	1.45510	44873	0	50
2001.02.25	1.45350	1.47630	1.43880	1.46780	46468	0	50
2001.03.04	1.46960	1.47520	1.45740	1.46940	44764	0	50
2001.03.11	1.46720	1.46990	1.42510	1.43260	52670	0	50
2001.03.18	1.43110	1.43950	1.41790	1.42510	46528	0	50
2001.03.25	1.42760	1.44270	1.41510	1.41630	48640	0	50
2001.04.01	1.41440	1.44130	1.41380	1.43980	45718	0	50
2001.04.08	1.44080	1.45020	1.42700	1.43720	38082	0	50
2001.04.15	1.43700	1.44880	1.41850	1.44120	39707	0	50
2001.04.22	1.44210	1.44780	1.43090	1.43860	45014	0	50
2001.04.29	1.43500	1.44530	1.42640	1.43930	37851	0	50
2001.05.06	1.43760	1.44170	1.41310	1.41900	41214	0	50
2001.05.13	1.41940	1.44060	1.41540	1.43950	41131	0	50
2001.05.20	1.43930	1.44200	1.40700	1.42250	45630	0	50
2001.05.27	1.42230	1.42760	1.41170	1.41750	41464	0	50
2001.06.03	1.41850	1.42170	1.37720	1.37860	44462	0	50
2001.06.10	1.38220	1.41090	1.36820	1.40310	44376	0	50
2001.06.17	1.40430	1.41960	1.39050	1.41330	43993	0	50
2001.06.24	1.41230	1.42310	1.40300	1.41630	43186	0	50
2001.07.01	1.41610	1.41810	1.39640	1.41200	38768	0	50
2001.07.08	1.41060	1.41920	1.39780	1.40450	41067	0	50
2001.07.15	1.40350	1.43570	1.39270	1.42790	47094	0	50
2001.07.22	1.42390	1.43170	1.41530	1.42380	46231	0	50
2001.07.29	1.42260	1.43610	1.42060	1.42930	44422	0	50
2001.08.05	1.42830	1.42870	1.41210	1.42310	44158	0	50
2001.08.12	1.42360	1.45220	1.41640	1.44510	47563	0	50
2001.08.19	1.44500	1.45910	1.44060	1.44280	46158	0	50
2001.08.26	1.44330	1.46270	1.43740	1.45420	45438	0	50
2001.09.02	1.45280	1.46370	1.44040	1.46100	48516	0	50
2001.09.09	1.46080	1.47920	1.45300	1.47210	49018	0	50
2001.09.16	1.47400	1.47840	1.45150	1.45680	46884	0	50
2001.09.23	1.45560	1.47750	1.45270	1.47440	46486	0	50
2001.09.30	1.47240	1.48450	1.46180	1.48420	46189	0	50
2001.10.07	1.48310	1.48340	1.43970	1.45200	44565	0	50
2001.10.14	1.45210	1.45420	1.43220	1.43330	44924	0	50
2001.10.21	1.43400	1.43760	1.41960	1.43650	45342	0	50
2001.10.28	1.43620	1.46840	1.43610	1.46260	46355	0	50
2001.11.04	1.46170	1.46750	1.44740	1.45630	42069	0	50
2001.11.11	1.45640	1.46200	1.42630	1.42700	41778	0	50
2001.11.18	1.42800	1.42850	1.40400	1.40930	46768	0	50
2001.11.25	1.40990	1.42970	1.40620	1.42420	47385	0	50
2001.12.02	1.42330	1.43410	1.41390	1.43380	44938	0	50
2001.12.09	1.43220	1.45690	1.42710	1.45410	45952	0	50
2001.12.16	1.45360	1.46110	1.43420	1.44160	48627	0	50
2001.12.23	1.44070	1.45550	1.43260	1.45130	37113	0	50
2001.12.30	1.45060	1.45650	1.43620	1.44730	36121	0	50
2002.01.06	1.44690	1.44970	1.43380	1.44800	49019	0	50
2002.01.13	1.44980	1.45210	1.42980	1.43820	46926	0	50
2002.01.20	1.43740	1.44220	1.40620	1.40830	45875	0	50
2002.01.27	1.40840	1.41850	1.40410	1.41620	48698	0	50
2002.02.03	1.41440	1.42480	1.40650	1.41510	44402	0	50
2002.02.10	1.41320	1.43630	1.41300	1.43250	42062	0	50
2002.02.17	1.43200	1.43440	1.42230	1.43340	40542	0	50
2002.02.24	1.43160	1.43290	1.41080	1.41810	45803	0	50
2002.03.03	1.41900	1.43120	1.41550	1.42300	45761	0	50
2002.03.10	1.42180	1.42720	1.40880	1.42480	43970	0	50
2002.03.17	1.42330	1.43270	1.41950	1.42610	43337	0	50
2002.03.24	1.42520	1.42900	1.42090	1.42590	41377	0	50
2002.03.31	1.42570	1.44310	1.42480	1.43210	43106	0	50
2002.04.07	1.43060	1.44080	1.42860	1.43610	43414	0	50
2002.04.14	1.43610	1.45010	1.43400	1.44760	42223	0	50
2002.04.21	1.44640	1.45880	1.44530	1.45830	39092	0	50
2002.04.28	1.45690	1.47080	1.45490	1.46910	41919	0	50
2002.05.05	1.46830	1.46980	1.45310	1.46410	40666	0	50
2002.05.12	1.46340	1.46520	1.44600	1.45820	44785	0	50
2002.05.19	1.45930	1.46340	1.45080	1.45810	45147	0	50
2002.05.26	1.45680	1.46900	1.45380	1.45430	40812	0	50
2002.06.02	1.45710	1.46690	1.45320	1.45990	42200	0	50
2002.06.09	1.45940	1.48030	1.45510	1.47720	41821	0	50
2002.06.16	1.47700	1.50190	1.47490	1.49750	42007	0	50
2002.06.23	1.49630	1.53810	1.49480	1.53310	48874	0	50
2002.06.30	1.53230	1.53660	1.51500	1.52250	42677	0	50
2002.07.07	1.52440	1.55820	1.52300	1.55360	46923	0	50
2002.07.14	1.55140	1.58580	1.55100	1.57730	49483	0	50
2002.07.21	1.57540	1.58670	1.55540	1.56570	51461	0	50
2002.07.28	1.56540	1.57450	1.54700	1.56980	48257	0	50
2002.08.04	1.56970	1.57130	1.52090	1.52450	48551	0	50
2002.08.11	1.52340	1.54720	1.52270	1.53900	46742	0	50
2002.08.18	1.53940	1.54480	1.51620	1.52060	43317	0	50
2002.08.25	1.52100	1.55490	1.51830	1.54980	41187	0	50
2002.09.01	1.54910	1.57320	1.54620	1.55850	49400	0	50
2002.09.08	1.55870	1.56570	1.54730	1.55110	49770	0	50
2002.09.15	1.55070	1.55960	1.52830	1.55470	52190	0	50
2002.09.22	1.55460	1.56720	1.54830	1.56100	50155	0	50
2002.09.29	1.56100	1.57670	1.55990	1.56510	50372	0	50
2002.10.06	1.56440	1.56940	1.55050	1.56170	48653	0	50
2002.10.13	1.56210	1.56530	1.54310	1.54580	55359	0	50
