<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	00:00:00	1.59340	1.59430	1.57550	1.57800	603	0	60
2000.01.03	04:00:00	1.57750	1.58240	1.57560	1.58110	418	0	60
2000.01.03	08:00:00	1.58120	1.58820	1.58040	1.58650	1835	0	60
2000.01.03	12:00:00	1.58570	1.59800	1.58540	1.59530	1620	0	60
2000.01.03	16:00:00	1.59510	1.59590	1.56710	1.57040	1492	0	60
2000.01.03	20:00:00	1.57030	1.57200	1.56160	1.56710	615	0	60
2000.01.04	00:00:00	1.56700	1.56850	1.56410	1.56780	677	0	60
2000.01.04	04:00:00	1.56780	1.56850	1.56360	1.56720	705	0	60
2000.01.04	08:00:00	1.56700	1.57040	1.55950	1.56050	1978	0	60
2000.01.04	12:00:00	1.55960	1.56150	1.55020	1.55330	1950	0	60
2000.01.04	16:00:00	1.55350	1.56270	1.55180	1.56090	1699	0	60
2000.01.04	20:00:00	1.56120	1.56150	1.55530	1.55720	704	0	60
2000.01.05	00:00:00	1.55730	1.55950	1.55550	1.55840	449	0	60
2000.01.05	04:00:00	1.55830	1.55900	1.55250	1.55370	685	0	60
2000.01.05	08:00:00	1.55370	1.55600	1.54240	1.54730	2556	0	60
2000.01.05	12:00:00	1.54730	1.55260	1.54470	1.54760	1892	0	60
2000.01.05	16:00:00	1.54870	1.55510	1.54540	1.55260	1762	0	60
2000.01.05	20:00:00	1.55280	1.55710	1.55200	1.55460	834	0	60
2000.01.06	00:00:00	1.55310	1.55720	1.55200	1.55480	931	0	60
2000.01.06	04:00:00	1.55430	1.55600	1.54480	1.54700	1583	0	60
2000.01.06	08:00:00	1.54750	1.55350	1.54650	1.55070	2301	0	60
2000.01.06	12:00:00	1.55070	1.55170	1.54290	1.54890	2127	0	60
2000.01.06	16:00:00	1.54900	1.56130	1.54840	1.55780	1586	0	60
2000.01.06	20:00:00	1.55790	1.55880	1.55070	1.55300	795	0	60
2000.01.07	00:00:00	1.55350	1.55920	1.55180	1.55720	562	0	60
2000.01.07	04:00:00	1.55730	1.55970	1.55430	1.55930	760	0	60
2000.01.07	08:00:00	1.55880	1.56190	1.55620	1.55950	1593	0	60
2000.01.07	12:00:00	1.55940	1.56670	1.55860	1.56260	1541	0	60
2000.01.07	16:00:00	1.56240	1.56410	1.55950	1.56260	928	0	60
2000.01.07	20:00:00	1.56290	1.56560	1.56170	1.56460	355	0	60
2000.01.10	00:00:00	1.56420	1.56570	1.56190	1.56420	599	0	60
2000.01.10	04:00:00	1.56340	1.56650	1.56270	1.56610	468	0	60
2000.01.10	08:00:00	1.56650	1.57290	1.56450	1.57110	1916	0	60
2000.01.10	12:00:00	1.57150	1.57550	1.56930	1.57050	1735	0	60
2000.01.10	16:00:00	1.57050	1.57190	1.56650	1.56770	1325	0	60
2000.01.10	20:00:00	1.56710	1.57090	1.56670	1.57000	653	0	60
