<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.02	1.59340	1.59800	1.54240	1.56460	37536	0	60
2000.01.09	1.56420	1.59650	1.55240	1.59460	36110	0	60
2000.01.16	1.59380	1.60360	1.58040	1.59720	37775	0	60
2000.01.23	1.60790	1.65510	1.59570	1.64810	40730	0	60
2000.01.30	1.64730	1.66280	1.61650	1.63360	46161	0	60
2000.02.06	1.63270	1.64640	1.61430	1.62540	36849	0	60
2000.02.13	1.62550	1.64490	1.61080	1.62680	32775	0	60
2000.02.20	1.62670	1.65400	1.59500	1.65090	36544	0	60
2000.02.27	1.65270	1.70000	1.63340	1.67610	50069	0	60
2000.03.05	1.67870	1.68680	1.65680	1.67040	43114	0	60
2000.03.12	1.67170	1.67980	1.65370	1.65750	43645	0	60
2000.03.19	1.65730	1.68320	1.62270	1.62390	43216	0	60
2000.03.26	1.62370	1.68020	1.62100	1.66540	46463	0	60
2000.04.02	1.66320	1.67260	1.61220	1.64360	40653	0	60
2000.04.09	1.64410	1.65650	1.62920	1.63140	37739	0	60
2000.04.16	1.62680	1.68050	1.62020	1.67530	37440	0	60
2000.04.23	1.67450	1.74010	1.66250	1.71670	42626	0	60
2000.04.30	1.71760	1.74370	1.70500	1.73210	43631	0	60
2000.05.07	1.73200	1.73750	1.68580	1.68960	52593	0	60
2000.05.14	1.69450	1.75350	1.69160	1.72770	41159	0	60
2000.05.21	1.72910	1.73440	1.67650	1.67690	46179	0	60
2000.05.28	1.67940	1.69780	1.65920	1.66280	43887	0	60
2000.06.04	1.66470	1.67090	1.61750	1.64220	43844	0	60
2000.06.11	1.64150	1.64950	1.61500	1.61650	38959	0	60
2000.06.18	1.61850	1.66090	1.61040	1.65800	42716	0	60
2000.06.25	1.65700	1.66580	1.62300	1.63660	41113	0	60
2000.07.02	1.63540	1.64080	1.61460	1.62720	38785	0	60
2000.07.09	1.62710	1.66370	1.61980	1.65010	40727	0	60
2000.07.16	1.65080	1.68570	1.64640	1.66110	43175	0	60
2000.07.23	1.66050	1.67830	1.64270	1.67610	38629	0	60
2000.07.30	1.67540	1.71660	1.66390	1.70510	39453	0	60
2000.08.06	1.70660	1.72460	1.69840	1.72180	36049	0	60
2000.08.13	1.72120	1.72640	1.70230	1.72140	38540	0	60
2000.08.20	1.72040	1.75000	1.70430	1.70930	40488	0	60
2000.08.27	1.70960	1.74910	1.70640	1.72390	40188	0	60
2000.09.03	1.72420	1.79180	1.71890	1.78630	50505	0	60
2000.09.10	1.79000	1.79220	1.74840	1.78650	58905	0	60
2000.09.17	1.78770	1.79330	1.71050	1.73330	57605	0	60
2000.09.24	1.73100	1.74350	1.71750	1.72420	53149	0	60
2000.10.01	1.72400	1.75690	1.72090	1.75080	46109	0	60
2000.10.08	1.75020	1.77210	1.72780	1.76650	46554	0	60
2000.10.15	1.76660	1.79890	1.75090	1.78290	50666	0	60
2000.10.22	1.78470	1.83130	1.78380	1.80880	53934	0	60
2000.10.29	1.80570	1.81250	1.74430	1.75470	64864	0	60
2000.11.05	1.75580	1.78570	1.74760	1.77210	57173	0	60
2000.11.12	1.76910	1.80170	1.75720	1.79800	50769	0	60
2000.11.19	1.79850	1.81780	1.78760	1.80670	47392	0	60
2000.11.26	1.80360	1.80750	1.72140	1.72320	54612	0	60
2000.12.03	1.72390	1.73000	1.68990	1.70050	60576	0	60
2000.12.10	1.70380	1.72640	1.67420	1.68150	57178	0	60
2000.12.17	1.68210	1.69840	1.64320	1.64720	61163	0	60
2000.12.24	1.64710	1.64900	1.60940	1.61110	42432	0	60
2000.12.31	1.61100	1.63370	1.58960	1.59790	50770	0	100
2001.01.07	1.59800	1.63000	1.59590	1.61890	57410	0	100
2001.01.14	1.61700	1.65400	1.60870	1.63620	58828	0	100
2001.01.21	1.63750	1.67200	1.62280	1.65070	61434	0	100
2001.01.28	1.65330	1.66190	1.62430	1.64470	56094	0	100
2001.02.04	1.64440	1.67810	1.62960	1.66090	56605	0	100
2001.02.11	1.65890	1.69780	1.64870	1.67910	54945	0	100
2001.02.18	1.68140	1.69900	1.66330	1.67450	57628	0	100
2001.02.25	1.67410	1.69080	1.63960	1.64970	58418	0	100
